genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
GCA_033953015.1	4159	4127	157	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_033953065.1	4542	4473	70	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.92	True
GCA_033953085.1	4464	4410	60	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_033953105.1	4595	4515	136	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.92	True
GCA_033953165.1	4174	4140	189	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_033953225.1	4192	4154	152	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_033953245.1	4261	4205	182	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_033953285.1	4080	4057	153	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.99	True
GCA_033953305.1	4261	4215	33	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_033953325.1	4243	4210	171	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_033953345.1	4163	4112	354	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_033992965.1	4554	4491	34	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_033996725.1	4411	4361	47	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_033996745.1	4176	4125	67	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_033996765.1	4714	4615	90	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_034016395.1	4088	4053	217	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_034016415.1	4692	4628	121	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034022335.1	4623	4546	39	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_034022355.1	4790	4710	37	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_034047075.1	4603	4532	75	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
GCA_034144805.1	4175	4138	199	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_034144865.1	4602	4512	73	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.91	True
GCA_034146025.1	4433	4379	48	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_034194785.1	4144	4113	175	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_034194825.1	4169	4141	176	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_034232795.1	4145	4120	154	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_034260315.1	4219	4179	47	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034295335.1	4604	4546	34	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034295855.1	4431	4380	35	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034295875.1	4525	4475	59	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_034295895.1	4297	4253	24	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034295915.1	4706	4598	59	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.91	True
GCA_034295935.1	4451	4400	31	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034305565.1	4381	4327	76	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034313505.1	4542	4471	41	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_034316845.1	4614	4557	35	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034400055.1	4427	4379	52	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034404135.1	4435	4373	19	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034404175.1	4363	4278	58	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_034404195.1	4607	4546	52	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034404215.1	4272	4228	33	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034404235.1	4539	4482	61	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_034404255.1	4540	4467	40	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_034404275.1	4497	4442	41	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_034404295.1	4336	4298	30	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.94	True
GCA_034404315.1	4603	4543	49	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034404335.1	4713	4647	85	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034404355.1	4531	4453	47	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_034404375.1	4668	4603	40	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034404395.1	4146	4119	109	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_034404415.1	4466	4416	50	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034404435.1	4591	4534	46	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034404455.1	4135	4109	108	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_034404475.1	4301	4253	17	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034404495.1	4676	4616	86	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034404515.1	4385	4323	37	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034404535.1	4308	4259	26	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034404555.1	4320	4278	23	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034404575.1	4613	4564	32	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034404615.1	4545	4490	46	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_034404635.1	4492	4423	45	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_034404655.1	4448	4397	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034404675.1	4430	4397	45	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034404695.1	4472	4405	51	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_034404715.1	4606	4542	48	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034404735.1	4335	4290	23	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034404755.1	4480	4418	51	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034404765.1	4761	4699	54	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.92	True
GCA_034404795.1	4489	4433	25	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034404815.1	4664	4599	55	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.92	True
GCA_034404835.1	4273	4229	18	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034404855.1	4539	4466	79	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
GCA_034404875.1	4523	4450	78	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
GCA_034404895.1	4120	4084	109	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_034404915.1	4264	4221	24	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034404935.1	4718	4608	61	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.91	True
GCA_034404955.1	4680	4581	46	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_034404975.1	4771	4678	54	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.91	True
GCA_034404995.1	4176	4146	103	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_034405015.1	4374	4320	32	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034405035.1	4714	4641	85	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_034405055.1	4355	4316	29	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.94	True
GCA_034405075.1	4316	4278	28	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034405095.1	4389	4347	30	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034405115.1	4572	4515	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034405135.1	4297	4254	29	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034405155.1	4458	4419	44	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034405175.1	4432	4373	23	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034405195.1	4575	4528	60	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034405215.1	4613	4548	66	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034405235.1	4722	4661	52	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034405275.1	4513	4432	38	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_034405295.1	4606	4510	53	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.91	True
GCA_034405305.1	4628	4550	46	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_034405335.1	4575	4517	51	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034405355.1	4385	4343	43	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034405375.1	4264	4219	33	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034405395.1	4148	4124	104	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_034405415.1	4658	4601	57	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034405435.1	4578	4537	71	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034405455.1	4146	4118	106	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_034405475.1	4392	4349	21	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034405495.1	4476	4408	44	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_034405515.1	4392	4339	43	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034405535.1	4333	4300	120	genus	0.96	0.95	1.0	0.02	0.04	0.99	0.94	False
GCA_034405555.1	4235	4202	29	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034405575.1	4253	4199	71	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034405595.1	4480	4404	52	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_034405615.1	4559	4506	49	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034405635.1	4302	4253	24	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_034405655.1	4556	4494	38	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034405675.1	4533	4469	33	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034405695.1	4719	4641	44	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_034405715.1	4795	4724	53	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034405735.1	4505	4454	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034405755.1	4552	4482	40	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_034405775.1	4569	4496	60	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_034405795.1	4519	4453	39	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034405815.1	4346	4282	368	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034405835.1	4407	4336	327	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
GCA_034405855.1	4194	4139	258	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.94	True
GCA_034405875.1	4206	4152	395	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.94	True
GCA_034405895.1	4180	4121	250	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.94	True
GCA_034405935.1	4316	4246	378	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
GCA_034405955.1	4274	4195	342	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
GCA_034405975.1	4084	4031	274	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.94	True
GCA_034405995.1	4253	4190	254	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034406005.1	4356	4271	263	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
GCA_034406035.1	4584	4494	368	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_034406055.1	4116	4072	307	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034406075.1	4291	4227	371	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034406095.1	4154	4092	305	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_034406115.1	4298	4240	132	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034406135.1	4453	4375	272	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
GCA_034406155.1	4341	4264	235	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
GCA_034406175.1	4368	4290	326	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
GCA_034406195.1	4212	4160	302	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034406215.1	4340	4263	378	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
GCA_034406235.1	4203	4148	346	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.94	True
GCA_034406255.1	4269	4206	313	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_034406275.1	4208	4150	382	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.94	True
GCA_034418475.1	4599	4510	31	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.92	True
GCA_034425535.1	4304	4256	95	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034426855.1	4329	4283	66	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034440755.1	4161	4122	150	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_034440775.1	4436	4366	133	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
GCA_034440795.1	4108	4084	144	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.99	True
GCA_034441665.1	4349	4279	227	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
GCA_034441745.1	4161	4130	114	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_034441895.1	4393	4345	33	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034525095.1	4359	4283	321	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
GCA_034557755.1	4623	4555	104	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034557915.1	4374	4318	67	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_034557935.1	4186	4155	183	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_034642085.1	4185	4161	126	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_034670865.1	4624	4568	47	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034670905.1	4552	4484	61	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.92	True
GCA_034707555.1	4526	4459	44	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_034868565.1	4154	4120	175	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_034941745.1	4182	4139	167	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_034941765.1	4533	4474	62	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_035894875.1	4347	4286	81	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_035894895.1	4148	4119	168	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_035920525.1	4575	4488	82	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_035920545.1	4166	4125	167	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_035920565.1	4803	4726	98	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_035920585.1	4531	4458	64	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_036249405.1	4095	4066	124	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_036249425.1	4146	4107	184	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_036249985.1	4070	4045	161	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.99	True
GCA_036365035.1	4184	4150	62	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_036365095.1	4367	4310	68	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_036365115.1	4192	4160	199	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_036365165.1	4137	4092	186	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_036395875.1	4564	4499	118	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_036395935.1	4214	4177	212	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_036395955.1	4165	4122	238	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_036428245.1	4446	4396	45	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_036455865.1	4269	4233	56	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.94	True
GCA_036547835.1	4294	4214	188	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
GCA_036547935.1	4226	4182	189	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_036547995.1	4442	4356	258	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_036548035.1	4421	4332	177	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.94	True
GCA_036548045.1	4412	4343	98	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_036548075.1	4511	4457	63	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_036548095.1	4076	4043	254	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_036548135.1	4367	4326	53	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_036548155.1	4541	4493	85	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_036548195.1	4185	4142	199	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_036548215.1	4741	4626	86	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.91	True
GCA_036669875.1	4170	4134	39	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_036691205.1	4148	4119	207	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_036691225.1	4530	4474	85	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_036691585.1	4165	4119	202	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_036691625.1	4522	4468	70	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_036691645.1	4200	4167	190	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_036691665.1	4470	4410	56	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_036691705.1	4525	4472	70	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_036693855.1	4221	4170	284	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_036767355.1	4297	4251	40	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_036815825.1	4167	4135	169	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_036815845.1	4270	4226	59	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_036868045.1	4178	4141	70	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_036868065.1	4552	4479	69	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_036869365.1	4483	4421	99	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_036869425.1	4152	4123	189	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_036869445.1	4303	4259	43	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_036974375.1	4437	4386	92	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_036974435.1	4490	4435	67	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_036974455.1	4286	4201	204	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
GCA_036974475.1	4608	4538	78	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_036974495.1	4443	4392	46	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_036974515.1	4150	4103	202	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_036978815.1	4172	4137	170	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_036978855.1	4533	4456	62	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_037096195.1	4550	4495	81	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_037097035.1	4674	4582	98	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCA_037097055.1	4660	4599	95	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_037157375.1	4135	4083	181	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_037157645.1	4216	4183	162	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_037173465.1	4521	4462	81	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_037175245.1	4574	4500	105	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_037206455.1	4431	4374	56	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_037206495.1	4213	4164	44	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_037206555.1	4527	4473	77	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_037210595.1	4508	4451	81	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_037210695.1	4567	4495	150	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_037452935.1	4220	4162	55	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.93	True
GCA_037452955.1	4120	4076	194	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_037483305.1	4629	4562	99	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_037483335.1	4344	4307	174	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.97	True
GCA_037483385.1	4174	4141	140	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_037483425.1	4449	4400	57	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_037483465.1	4513	4453	79	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_037547315.1	4358	4286	174	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_037547335.1	4267	4225	40	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_037863465.1	4332	4293	52	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_037892295.1	4536	4480	68	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_037892335.1	4246	4197	42	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_037892355.1	4564	4507	248	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_038011215.1	4134	4104	144	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_038017655.1	4340	4274	39	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_038051415.1	4159	4125	144	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCA_038086935.1	4463	4410	76	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_038105425.1	4574	4506	115	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_038107475.1	4902	4835	138	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_038109965.1	4246	4210	182	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCA_038154965.1	4493	4437	100	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_038156105.1	4544	4476	78	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.92	True
GCA_038380045.1	4439	4391	70	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_038380065.1	4286	4234	182	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_038411885.1	4232	4186	43	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_038411925.1	4350	4304	66	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_038417105.1	4685	4624	65	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_038417125.1	4445	4377	69	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
GCA_038417145.1	4685	4625	72	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_038417165.1	4236	4196	33	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_038417185.1	4696	4634	69	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_038420275.1	4203	4158	43	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_038420305.1	4480	4426	48	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCA_038452335.1	4319	4287	61	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCA_038501325.1	4430	4377	61	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
