accession	organism_name	biosample	assembly_level	source_database	refseq_category	geo_loc	isolation_source	host	collection_date	serovar	strain_x	host_disease	lat_lon	total_length	contig_n50	scaffold_n50	num_contigs	gc_percent	checkm_completeness	checkm_contamination	species	level_rank	db_rank	source_type	strain_y	isolate	sample_name	collected_by	identified_by	sequencing_tech	assembly_method	bioproject	niche	confidence	matched_term
GCF_015337825.2	Yersinia pestis	SAMN16619717	Complete Genome	SOURCE_DATABASE_REFSEQ		Russia	missing	Meriones meridianus	2002		M-1770	plague	48.25 N 48.81 E	4612530	4612530	4612530	1	47.5	97.82	0.76	Yersinia pestis	0	0		M-1770	missing		Russian Anti-Plague Research Institute		IonTorrent; Oxford Nanopore MinION	Trycycler v. 0.3.3; Medaka v. 1.0.3; Pilon v. 1.23	PRJNA673664	A	high	meriones
GCF_015336265.1	Yersinia pestis	SAMN16619718	Complete Genome	SOURCE_DATABASE_REFSEQ		Russia	missing	Marmota baibacina	2018		M2029	plague	49.76 N 87.55 E	4644349	4644349	4644349	1	47.5	97.81	0.81	Yersinia pestis	0	0		M2029	missing		Russian Anti-Plague Research Institute		Oxford Nanopore MinION; IonTorrent	Trycycler v. 0.3.3; Miniasm v. 0.3 (r179); Flye v. 2.8.1; Raven v. 1.1.10; Medaka v. 1.0.3; Pilon v. 1.23	PRJNA673664	A	high	marmot
GCF_015336865.1	Yersinia pestis	SAMN16619719	Complete Genome	SOURCE_DATABASE_REFSEQ		Russia	missing	Ochotona pallasi	2012		M-1974	plague	49.76 N 87.55 E	4612708	4612708	4612708	1	47.5	98.41	0.76	Yersinia pestis	0	0		M-1974	missing		Russian Anti-Plague Research Institute		Oxford Nanopore MinION; IonTorrent	Trycycler v. 0.3.3; Miniasm v. 0.3 (r179); Flye v. 2.8.1; Raven v. 1.1.10; Medaka v. 1.0.3; Pilon v. 1.23	PRJNA673664	A	high	ochotona
GCF_015338045.2	Yersinia pestis	SAMN16619720	Complete Genome	SOURCE_DATABASE_REFSEQ		Russia	missing	Urocitellus undulatus	2015		M2085	plague	50.45 N 90.43 E	4636545	4636545	4636545	1	47.5	97.73	0.76	Yersinia pestis	0	0		M2085	missing		Russian Anti-Plague Research Institute		IonTorrent; Oxford Nanopore MinION	Trycycler v. 0.3.3; Medaka v. 1.0.3; Pilon v. 1.23	PRJNA673664	A	high	citellus
GCF_015336465.1	Yersinia pestis	SAMN16619721	Complete Genome	SOURCE_DATABASE_REFSEQ		Russia	missing	Spermophilus dauricus	1966		I-1252	plague	50.31 N 116.73 E	4616538	4616538	4616538	1	47.5	98.55	0.76	Yersinia pestis	0	0		I-1252	missing		Russian Anti-Plague Research Institute		Oxford Nanopore MinION; IonTorrent	Trycycler v. 0.3.3; Miniasm v. 0.3 (r179); Flye v. 2.8.1; Raven v. 1.1.10; Medaka v. 1.0.3; Pilon v. 1.23	PRJNA673664	A	high	spermophilus
GCF_015338205.1	Yersinia pestis	SAMN16619722	Complete Genome	SOURCE_DATABASE_REFSEQ		Russia	Ctenophtalmus intermedius	Microtus obscurus	2012		C-830	plague	42.05 N 46.96 E	4501826	4501826	4501826	1	47.5	97.16	0.76	Yersinia pestis	0	0		C-830	missing		Russian Anti-Plague Research Institute		Oxford Nanopore MinION; IonTorrent	Trycycler v. 0.3.3; Miniasm v. 0.3 (r179); Flye v. 2.8.1; Raven v. 1.1.10; Medaka v. 1.0.3; Pilon v. 1.23	PRJNA673664	A	high	microtus
GCF_015336695.1	Yersinia pestis	SAMN16619723	Complete Genome	SOURCE_DATABASE_REFSEQ		Russia	Ceratophyllus tesquorum	Meriones meridianus	2015		M2086	plague	45.46 N 46.29 E	4617857	4617857	4617857	1	47.5	98.67	0.76	Yersinia pestis	0	0		M2086	missing		Russian Anti-Plague Research Institute		Oxford Nanopore MinION; IonTorrent	Trycycler v. 0.3.3; Miniasm v. 0.3 (r179); Flye v. 2.8.1; Raven v. 1.1.10; Medaka v. 1.0.3; Pilon v. 1.23	PRJNA673664	A	high	rat
GCA_028846645.1	Yersinia enterocolitica	SAMN16846031	Contig	SOURCE_DATABASE_GENBANK		USA	missing	missing	missing		PNUSAY000046	missing	missing	4612803	70516	70516	151	47.5			Yersinia enterocolitica	3	1		PNUSAY000046	missing		CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	medium	collected_by:cdc
GCA_028848445.1	Yersinia ruckeri	SAMN17105855	Contig	SOURCE_DATABASE_GENBANK		USA: ID	spleen	Oncorhynchus tshawytscha	2019-09-01		AQ-19-VL-OH-WA-0034		Not Provided	3751240	234351	234351	39	47.5			Yersinia ruckeri	3	1	animal	AQ-19-VL-OH-WA-0034	missing		Washington State University Washington Animal Disease Diagnostic Laboratory		ILLUMINA	SKESA v. 2.2	PRJNA481353	A	high	source_type:animal
GCA_028848265.1	Yersinia ruckeri	SAMN17105858	Contig	SOURCE_DATABASE_GENBANK		USA: OR	tissue pool	Oncorhynchus nerka	2019-09-01		AQ-19-VL-OH-WA-0037		Not Provided	3875419	200569	200569	36	47.5			Yersinia ruckeri	3	1	animal	AQ-19-VL-OH-WA-0037	missing		Washington State University Washington Animal Disease Diagnostic Laboratory		ILLUMINA	SKESA v. 2.2	PRJNA481353	A	high	source_type:animal
GCA_028848285.1	Yersinia ruckeri	SAMN17105859	Contig	SOURCE_DATABASE_GENBANK		USA: WA	tissue pool	Oncorhynchus nerka	2019-09-01		AQ-19-VL-OH-WA-0038		Not Provided	3863968	207380	207380	44	47.5			Yersinia ruckeri	3	1	animal	AQ-19-VL-OH-WA-0038	missing		Washington State University Washington Animal Disease Diagnostic Laboratory		ILLUMINA	SKESA v. 2.2	PRJNA481353	A	high	source_type:animal
GCA_028848305.1	Yersinia ruckeri	SAMN17105860	Contig	SOURCE_DATABASE_GENBANK		USA: OR	body	Oncorhynchus tshawytscha	2019-09-01		AQ-19-VL-OH-WA-0039		Not Provided	3975332	271221	271221	36	47.5			Yersinia ruckeri	3	1	animal	AQ-19-VL-OH-WA-0039	missing		Washington State University Washington Animal Disease Diagnostic Laboratory		ILLUMINA	SKESA v. 2.2	PRJNA481353	A	high	source_type:animal
GCA_028848365.1	Yersinia ruckeri	SAMN17105867	Contig	SOURCE_DATABASE_GENBANK		USA: WA	tissue pool	Oncorhynchus tshawytscha	2019-11-01		AQ-19-VL-OH-WA-0054		Not Provided	4059950	238294	238294	44	47			Yersinia ruckeri	3	1	animal	AQ-19-VL-OH-WA-0054	missing		Washington State University Washington Animal Disease Diagnostic Laboratory		ILLUMINA	SKESA v. 2.2	PRJNA481353	A	high	source_type:animal
GCA_028848345.1	Yersinia ruckeri	SAMN17105868	Contig	SOURCE_DATABASE_GENBANK		USA: ID	kidney	Oncorhynchus tshawytscha	2019-11-01		AQ-19-VL-OH-WA-0055		Not Provided	3889148	299475	299475	50	47.5			Yersinia ruckeri	3	1	animal	AQ-19-VL-OH-WA-0055	missing		Washington State University Washington Animal Disease Diagnostic Laboratory		ILLUMINA	SKESA v. 2.2	PRJNA481353	A	high	source_type:animal
GCA_028848465.1	Yersinia ruckeri	SAMN17105871	Contig	SOURCE_DATABASE_GENBANK		USA: WA	ovary	Oncorhynchus kisutch	2019-12-01		AQ-19-VL-OH-WA-0062		Not Provided	3789254	304088	304088	33	47.5			Yersinia ruckeri	3	1	animal	AQ-19-VL-OH-WA-0062	missing		Washington State University Washington Animal Disease Diagnostic Laboratory		ILLUMINA	SKESA v. 2.2	PRJNA481353	A	high	source_type:animal
GCF_017837935.1	Yersinia pestis subsp. pestis	SAMN17171138	Contig	SOURCE_DATABASE_REFSEQ		Russia: Altai Republic, Kosh-Agach district, Mukhor-Tarkhata village, Samtayev street, 5/1.	missing	Homo sapiens	2016-07-17		157	plague	missing	4678058	23296	23296	443	47.5	96.74	2.15	Yersinia pestis	3	0		157			"RusRAPI ""Microbe"""		IonTorrent	Newbler v. 2.6	PRJNA688246	H	high	homo sapiens
GCF_017837915.1	Yersinia pestis subsp. pestis	SAMN17171139	Contig	SOURCE_DATABASE_REFSEQ		Russia: Altai Republic, Kosh-Agach District	missing	Marmota baibacina	2018		276	plague	49.64854 N 88.88837 E	4660707	44946	44946	219	47.5	96.85	1.49	Yersinia pestis	3	0		276			Russian Research Anti-Plague Institute 'Microbe'		IonTorrent	Newbler v. 2.6	PRJNA688245	A	high	marmot
GCA_017315285.1	Yersinia enterocolitica subsp. palearctica	SAMN17740595	Contig	SOURCE_DATABASE_GENBANK		not applicable		Homo sapiens	2019-04-01		Y72		59.3293 N 18.0686 E	4644517	4567080	4567080	3	47	56.41	0.07	Yersinia enterocolitica	3	1		Y72					Illumina HiSeq; Oxford Nanopore MinION	CLC NGS Cell v. 20.0.4	PRJNA698800	H	high	homo sapiens
GCA_028846585.1	Yersinia enterocolitica	SAMN17843199	Contig	SOURCE_DATABASE_GENBANK		USA	missing	missing	missing	missing	PNUSAY000048	missing	missing	4527723	94350	94350	125	47.5			Yersinia enterocolitica	3	1		PNUSAY000048	missing		CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	medium	collected_by:cdc
GCA_028846555.1	Yersinia enterocolitica	SAMN17868051	Contig	SOURCE_DATABASE_GENBANK		USA	missing	missing	missing	missing	PNUSAY000047	missing	missing	4430205	23686	23686	387	47			Yersinia enterocolitica	3	1		PNUSAY000047	missing		CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	medium	collected_by:cdc
GCF_019739755.1	Yersinia enterocolitica	SAMN18594617	Contig	SOURCE_DATABASE_REFSEQ		Georgia: Akhaltsikhe	intestine	Rattus norvegicus	2018-03		18ENCDC AsAtc Rint - 11-12	Enteric disease	41.57621 N 43.24779 E	4673420	207203	207203	40	47	97.99	3.57	Yersinia enterocolitica	3	0		18ENCDC AsAtc Rint - 11-12			NCDC of Georgia		Illumina MiSeq	CLC NGS Cell v. 12.0.3	PRJNA719294	A	high	rat
GCF_019739685.1	Yersinia enterocolitica	SAMN18594618	Contig	SOURCE_DATABASE_REFSEQ		Georgia: Marneuli	intestine	Rattus norvegicus	2018-04		LcENCDC Rint 5	Enteric disease	41.364967 N 44.838983 E	4696602	230419	230419	45	47	98.14	2.67	Yersinia enterocolitica	3	0		LcENCDC Rint 5			NCDC of Georgia		Illumina MiSeq	CLC NGS Cell v. 12.0.3	PRJNA719294	A	high	rat
GCF_019739675.1	Yersinia enterocolitica	SAMN18594619	Contig	SOURCE_DATABASE_REFSEQ		Georgia: Batumi	intestine	shrew of unidentified species	2018-12		B18 Rint -231	Enteric disease	41.6045 N 41.5901 E	4775715	106301	106301	124	47	96.62	3.65	Yersinia enterocolitica	3	0		B18 Rint -231			NCDC of Georgia		Illumina MiSeq	CLC NGS Cell v. 12.0.3	PRJNA719294	A	high	shrew
GCF_019739665.1	Yersinia enterocolitica	SAMN18594620	Contig	SOURCE_DATABASE_REFSEQ		Georgia: Dedoplistskaro	intestine	Mus macedonicus	2018-06		18E17 065 D I Rint-91	Enteric disease	41.266 N 45.894 E	4871034	109447	109447	95	47	98.18	5.11	Yersinia enterocolitica	3	0		18E17 065 D I Rint-91			NCDC of Georgia		Illumina MiSeq	CLC NGS Cell v. 12.0.3	PRJNA719294	E	high	sea
GCF_019739695.1	Yersinia enterocolitica	SAMN18594621	Contig	SOURCE_DATABASE_REFSEQ		Georgia: Dedoplistskaro	intestine	Apodemus witherbyi	2018-07		18E17 065 D I Rint-95	Enteric disease	41.26413 N 45.89478 E	4872315	146650	146650	75	47	98.18	5.11	Yersinia enterocolitica	3	0		18E17 065 D I Rint-95			NCDC of Georgia		Illumina MiSeq	CLC NGS Cell v. 12.0.3	PRJNA719294	A	high	apodemus
GCF_019739655.1	Yersinia enterocolitica	SAMN18594622	Contig	SOURCE_DATABASE_REFSEQ		Georgia: Dedoplistskaro	intestine	Microtus socialis	2018-06		18E17 065 D I -33	Enteric disease	41.439617 N 46.128567 E	4899686	149137	149137	83	47	98.67	4.26	Yersinia enterocolitica	3	0		18E17 065 D I -33			NCDC of Georgia		Illumina MiSeq	CLC NGS Cell v. 12.0.3	PRJNA719294	A	high	microtus
GCA_028846545.1	Yersinia enterocolitica	SAMN18672230	Contig	SOURCE_DATABASE_GENBANK		USA	missing	missing	missing	missing	PNUSAY000050	missing	missing	4778523	49679	49679	205	47.5			Yersinia enterocolitica	3	1		PNUSAY000050	missing		CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	medium	collected_by:cdc
GCF_018224905.1	Yersinia sp. Marseille-Q3913	SAMN18865411	Scaffold	SOURCE_DATABASE_REFSEQ		France: Marseille		Homo sapiens	2021-04		Marseille-Q3913			4516059	105674	163411	106	49	99.81	0.51	Yersinia sp.	2	0		Marseille-Q3913					Illumina MiSeq	SPAdes v. 3.12.0	PRJNA724938	H	high	homo sapiens
GCA_028846605.1	Yersinia enterocolitica	SAMN19159634	Contig	SOURCE_DATABASE_GENBANK		USA	missing	missing	missing	missing	PNUSAY000054	missing	missing	4442751	50187	50187	201	47.5			Yersinia enterocolitica	3	1		PNUSAY000054	missing		CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	medium	collected_by:cdc
GCA_028846525.1	Yersinia enterocolitica	SAMN19159637	Contig	SOURCE_DATABASE_GENBANK		USA	missing	missing	missing	missing	PNUSAY000055	missing	missing	4416726	46224	46224	172	47			Yersinia enterocolitica	3	1		PNUSAY000055	missing		CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	medium	collected_by:cdc
GCA_028846485.1	Yersinia enterocolitica	SAMN19242986	Contig	SOURCE_DATABASE_GENBANK		USA	missing	missing	missing	missing	PNUSAY000056	missing	missing	4468018	46343	46343	168	47			Yersinia enterocolitica	3	1		PNUSAY000056	missing		CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	medium	collected_by:cdc
GCA_028846505.1	Yersinia enterocolitica	SAMN19573563	Contig	SOURCE_DATABASE_GENBANK		USA	missing	missing	missing	missing	PNUSAY000057	missing	missing	4787008	216179	216179	59	47			Yersinia enterocolitica	3	1		PNUSAY000057	missing		CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	medium	collected_by:cdc
GCA_028846425.1	Yersinia enterocolitica	SAMN19645640	Contig	SOURCE_DATABASE_GENBANK		USA	missing	missing	missing	missing	PNUSAY000049	missing	missing	4626114	65825	65825	145	47.5			Yersinia enterocolitica	3	1		PNUSAY000049	missing		CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	H	medium	collected_by:cdc
GCF_022395295.1	Yersinia enterocolitica	SAMN19671755	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2015-12-03		12		20.42 S 42.91 W	4404011	72258	72258	98	47	97.95	0.59	Yersinia enterocolitica	3	0		12			InsPOA_UFV		Illumina	SPAdes v. 3.13.1	PRJNA736243	A	high	pig
GCF_022395275.1	Yersinia enterocolitica	SAMN19671756	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2015-12-03		13		20.42 S 42.91 W	4471759	76039	76039	113	47	98.08	0.59	Yersinia enterocolitica	3	0		13			InsPOA_UFV		Illumina	SPAdes v. 3.13.3	PRJNA736243	A	high	pig
GCF_022395235.1	Yersinia enterocolitica	SAMN19671757	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2015-12-03		23		20.42 S 42.91 W	4472252	85242	85242	94	47	97.94	0.59	Yersinia enterocolitica	3	0		23			InsPOA_UFV		Illumina	SPAdes v. 3.13.5	PRJNA736243	A	high	pig
GCF_022395195.1	Yersinia enterocolitica	SAMN19671758	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2015-12-03		25		20.42 S 42.91 W	4471798	76039	76039	104	47	98.05	0.59	Yersinia enterocolitica	3	0		25			InsPOA_UFV		Illumina	SPAdes v. 3.13.7	PRJNA736243	A	high	pig
GCF_022395255.1	Yersinia enterocolitica	SAMN19671759	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2015-12-03		26		20.42 S 42.91 W	4403512	83934	83934	90	47	98.02	0.59	Yersinia enterocolitica	3	0		26			InsPOA_UFV		Illumina	SPAdes v. 3.13.9	PRJNA736243	A	high	pig
GCF_022395155.1	Yersinia enterocolitica	SAMN19671760	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2015-12-03		27		20.42 S 42.91 W	4474823	76039	76039	101	47	98.02	0.59	Yersinia enterocolitica	3	0		27			InsPOA_UFV		Illumina	SPAdes v. 3.13.11	PRJNA736243	A	high	pig
GCF_022395165.1	Yersinia enterocolitica	SAMN19671761	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2016-02-25		51		20.42 S 42.91 W	4514006	86739	86739	112	47	98.55	0.59	Yersinia enterocolitica	3	0		51			InsPOA_UFV		Illumina	SPAdes v. 3.13.13	PRJNA736243	A	high	pig
GCF_022395135.1	Yersinia enterocolitica	SAMN19671762	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2016-02-25		52		20.42 S 42.91 W	4511635	70831	70831	120	47	98.55	0.6	Yersinia enterocolitica	3	0		52			InsPOA_UFV		Illumina	SPAdes v. 3.13.15	PRJNA736243	A	high	pig
GCF_022395055.1	Yersinia enterocolitica	SAMN19671763	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2016-03-31		72		20.42 S 42.91 W	4440892	87038	87038	92	47	98.49	0.59	Yersinia enterocolitica	3	0		72			InsPOA_UFV		Illumina	SPAdes v. 3.13.17	PRJNA736243	A	high	pig
GCF_022395215.1	Yersinia enterocolitica	SAMN19671764	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2016-04-07		85		20.42 S 42.91 W	4504483	84720	84720	98	47	98.36	0.59	Yersinia enterocolitica	3	0		85			InsPOA_UFV		Illumina	SPAdes v. 3.13.19	PRJNA736243	A	high	pig
GCF_022395095.1	Yersinia enterocolitica	SAMN19671765	Scaffold	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2016-04-28		102		20.42 S 42.91 W	4443263	84720	84720	96	47	98.35	0.59	Yersinia enterocolitica	2	0		102			InsPOA_UFV		Illumina	SPAdes v. 3.13.21	PRJNA736243	A	high	pig
GCF_022395105.1	Yersinia enterocolitica	SAMN19671766	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2017-08-08		R31		20.42 S 42.91 W	4554479	240245	240245	35	47	96.67	2.46	Yersinia enterocolitica	3	0		R31			InsPOA_UFV		Illumina	SPAdes v. 3.13.23	PRJNA736243	A	high	pig
GCF_022395075.1	Yersinia enterocolitica	SAMN19671767	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2017-08-08		R32		20.42 S 42.91 W	4623924	77580	77580	107	47	98.8	1.45	Yersinia enterocolitica	3	0		R32			InsPOA_UFV		Illumina	SPAdes v. 3.13.25	PRJNA736243	A	high	pig
GCF_022395015.1	Yersinia enterocolitica	SAMN19671768	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2017-08-08		R33		20.42 S 42.91 W	4495349	74913	74913	96	47	98.72	0.58	Yersinia enterocolitica	3	0		R33			InsPOA_UFV		Illumina	SPAdes v. 3.13.27	PRJNA736243	A	high	pig
GCF_022394995.1	Yersinia enterocolitica	SAMN19671769	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2017-08-08		R34		20.42 S 42.91 W	4494238	73697	73697	105	47	98.78	0.58	Yersinia enterocolitica	3	0		R34			InsPOA_UFV		Illumina	SPAdes v. 3.13.29	PRJNA736243	A	high	pig
GCF_022394955.1	Yersinia enterocolitica	SAMN19671770	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2017-08-08		R36		20.42 S 42.91 W	4621318	72654	72654	113	47	98.8	1.45	Yersinia enterocolitica	3	0		R36			InsPOA_UFV		Illumina	SPAdes v. 3.13.31	PRJNA736243	A	high	pig
GCF_022394895.1	Yersinia enterocolitica	SAMN19671771	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2017-08-08		R40		20.42 S 42.91 W	4621409	73696	73696	108	47	98.74	1.45	Yersinia enterocolitica	3	0		R40			InsPOA_UFV		Illumina	SPAdes v. 3.13.33	PRJNA736243	A	high	pig
GCF_022394915.1	Yersinia enterocolitica	SAMN19671772	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2017-08-08		R42		20.42 S 42.91 W	4620124	73710	73710	110	47	98.74	1.45	Yersinia enterocolitica	3	0		R42			InsPOA_UFV		Illumina	SPAdes v. 3.13.35	PRJNA736243	A	high	pig
GCF_022394875.1	Yersinia enterocolitica	SAMN19671773	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2017-08-08		R45		20.42 S 42.91 W	4625131	71748	71748	116	47	98.8	1.45	Yersinia enterocolitica	3	0		R45			InsPOA_UFV		Illumina	SPAdes v. 3.13.37	PRJNA736243	A	high	pig
GCF_022394825.1	Yersinia enterocolitica	SAMN19671774	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2017-08-08		R50		20.42 S 42.91 W	4618067	76011	76011	104	47	98.74	1.45	Yersinia enterocolitica	3	0		R50			InsPOA_UFV		Illumina	SPAdes v. 3.13.39	PRJNA736243	A	high	pig
GCF_022394975.1	Yersinia enterocolitica	SAMN19671775	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2017-08-08		R53		20.42 S 42.91 W	4621623	88200	88200	105	47	98.8	1.45	Yersinia enterocolitica	3	0		R53			InsPOA_UFV		Illumina	SPAdes v. 3.13.41	PRJNA736243	A	high	pig
GCF_022395035.1	Yersinia enterocolitica	SAMN19671776	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2017-08-08		R56		20.42 S 42.91 W	4620734	73802	73802	114	47	98.8	1.45	Yersinia enterocolitica	3	0		R56			InsPOA_UFV		Illumina	SPAdes v. 3.13.43	PRJNA736243	A	high	pig
GCF_022394855.1	Yersinia enterocolitica	SAMN19671777	Contig	SOURCE_DATABASE_REFSEQ		Brazil: Minas_Gerais_1	missing	pig	2017-08-08		R58		20.42 S 42.91 W	4622284	72264	72264	116	47	98.74	1.45	Yersinia enterocolitica	3	0		R58			InsPOA_UFV		Illumina	SPAdes v. 3.13.45	PRJNA736243	A	high	pig
GCA_028837505.1	Yersinia enterocolitica	SAMN19699696	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	pig		2007-10-23		Yersinia		38.47 N 106.27 E	4584368	59912	59912	151	47			Yersinia enterocolitica	3	1		Yersinia	NX0738		Ningxia CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	pig
GCA_028837465.1	Yersinia enterocolitica	SAMN19699697	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	pig		2007-10-23		Yersinia		38.47 N 106.27 E	4527715	61415	61415	154	47			Yersinia enterocolitica	3	1		Yersinia	NX0740		Ningxia CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	pig
GCA_028839165.1	Yersinia enterocolitica	SAMN19699698	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	pig		2007-10-23		Yersinia		38.47 N 106.27 E	4521851	62760	62760	144	47			Yersinia enterocolitica	3	1		Yersinia	NX0741		Ningxia CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	pig
GCA_028840205.1	Yersinia enterocolitica	SAMN19699699	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	pig		2007-10-23		Yersinia		38.47 N 106.27 E	4615569	63485	63485	126	47			Yersinia enterocolitica	3	1		Yersinia	NX0742		Ningxia CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	pig
GCA_028840685.1	Yersinia enterocolitica	SAMN19699700	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	pig		2007-10-23		Yersinia		38.47 N 106.27 E	4565441	71561	71561	115	47			Yersinia enterocolitica	3	1		Yersinia	NX0743		Ningxia CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	pig
GCA_028840785.1	Yersinia enterocolitica	SAMN19699701	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	pig		2007-10-23		Yersinia		38.47 N 106.27 E	4561320	61957	61957	138	47			Yersinia enterocolitica	3	1		Yersinia	NX0744		Ningxia CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	pig
GCA_028841065.1	Yersinia enterocolitica	SAMN19699702	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	pig		2007-10-23		Yersinia		38.47 N 106.27 E	4565193	66321	66321	122	47			Yersinia enterocolitica	3	1		Yersinia	NX0745		Ningxia CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	pig
GCA_028990735.1	Yersinia enterocolitica	SAMN19699703	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	pig		2007-10-23		Yersinia		38.47 N 106.27 E	4583718	66342	66342	118	47			Yersinia enterocolitica	3	1		Yersinia	NX0746		Ningxia CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	pig
GCA_028840985.1	Yersinia enterocolitica	SAMN19699704	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	pig		2007-10-23		Yersinia		38.47 N 106.27 E	4561032	72391	72391	110	47			Yersinia enterocolitica	3	1		Yersinia	NX0747		Ningxia CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	pig
GCA_028841085.1	Yersinia enterocolitica	SAMN19699705	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	pig		2007-10-23		Yersinia		38.47 N 106.27 E	4563187	71561	71561	110	47			Yersinia enterocolitica	3	1		Yersinia	NX0748		Ningxia CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	pig
GCA_028837525.1	Yersinia enterocolitica	SAMN19699706	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	pig		2007-10-23		Yersinia		38.47 N 106.27 E	4566377	71561	71561	114	47			Yersinia enterocolitica	3	1		Yersinia	NX0749		Ningxia CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	pig
GCA_028837805.1	Yersinia enterocolitica	SAMN19699707	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	pig		2007-10-23		Yersinia		38.47 N 106.27 E	4582219	70585	70585	112	47			Yersinia enterocolitica	3	1		Yersinia	NX0750		Ningxia CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	pig
GCA_028837885.1	Yersinia enterocolitica	SAMN19699708	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	pig		2007-10-23		Yersinia		38.47 N 106.27 E	4566489	71453	71453	117	47			Yersinia enterocolitica	3	1		Yersinia	NX0751		Ningxia CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	pig
GCA_028838585.1	Yersinia enterocolitica	SAMN19699709	Contig	SOURCE_DATABASE_GENBANK		China:Ningxia	pig		2007-10-23		Yersinia		38.47 N 106.27 E	4580483	70585	70585	120	47			Yersinia enterocolitica	3	1		Yersinia	NX0752		Ningxia CDC		ILLUMINA	SKESA v. 2.2	PRJNA514245	A	high	pig
