Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
GCA_028832085.1	100.0	2.43	Neural Network (Specific Model)	11	0.867	195992	315.6800699300699	4992545	0.47	4576	61	491881	None
GCA_028832925.1	100.0	1.67	Neural Network (Specific Model)	11	0.853	57225	308.0372238232469	4505710	0.47	4164	176	218230	None
GCA_028836405.1	100.0	0.5	Neural Network (Specific Model)	11	0.853	209791	315.7223695844385	3762855	0.48	3393	38	970122	None
GCA_028837505.1	100.0	2.7	Neural Network (Specific Model)	11	0.852	59912	307.6620283018868	4584368	0.47	4240	151	183682	None
GCA_028838725.1	100.0	7.26	Neural Network (Specific Model)	11	0.865	267985	313.55471289274107	5008454	0.47	4615	47	579517	None
GCA_028838965.1	100.0	1.77	Neural Network (Specific Model)	11	0.851	71552	309.1682486948268	4585490	0.47	4214	113	219534	None
GCA_028840645.1	100.0	1.33	Neural Network (Specific Model)	11	0.854	76887	315.7226205191595	4479882	0.47	4045	106	264415	None
GCA_028840965.1	100.0	3.18	Neural Network (Specific Model)	11	0.869	143822	318.5697755149271	4747141	0.47	4321	68	535406	None
GCA_028842665.1	100.0	6.62	Neural Network (Specific Model)	11	0.866	259942	316.70173072600585	4874373	0.47	4449	38	616913	None
GCA_028844505.1	100.0	0.78	Neural Network (Specific Model)	11	0.856	27961	304.1622859898722	4414329	0.47	4147	336	157423	None
GCA_028844805.1	100.0	3.1	Neural Network (Specific Model)	11	0.865	200925	314.80160734787603	4747667	0.47	4355	63	444129	None
GCA_028848065.1	100.0	1.34	Neural Network (Specific Model)	11	0.854	53186	310.17409402546525	4442913	0.47	4084	168	168068	None
GCA_028854005.1	100.0	0.7	Neural Network (Specific Model)	11	0.867	386138	319.4716270308453	4689502	0.47	4247	42	751867	None
GCA_028854445.1	100.0	0.21	Neural Network (Specific Model)	11	0.868	165078	319.81781182666987	4610760	0.47	4177	58	678538	None
GCA_028855725.1	100.0	0.2	Neural Network (Specific Model)	11	0.855	61077	310.1431963904061	4576264	0.47	4211	179	153436	None
GCA_028855765.1	100.0	0.08	Neural Network (Specific Model)	11	0.856	63978	311.98088092933205	4510093	0.47	4132	159	159281	None
GCA_028855785.1	100.0	0.08	Neural Network (Specific Model)	11	0.856	63978	312.16012596899225	4507776	0.47	4128	167	158797	None
GCA_028998325.1	100.0	0.76	Neural Network (Specific Model)	11	0.866	444016	319.51538825757575	4668115	0.47	4224	22	1838180	None
GCA_028999065.1	100.0	0.5	Neural Network (Specific Model)	11	0.867	103268	309.33850797757657	4957934	0.47	4638	117	258723	None
GCA_030257135.1	100.0	0.22	Neural Network (Specific Model)	11	0.834	42309	310.6930811587264	4659784	0.48	4177	228	107249	None
GCA_030257615.1	100.0	0.22	Neural Network (Specific Model)	11	0.834	41080	310.32557581573894	4645441	0.48	4168	237	107249	None
GCA_030257635.1	100.0	0.22	Neural Network (Specific Model)	11	0.834	39424	309.9075227599425	4645699	0.48	4174	242	107249	None
GCA_030258645.1	100.0	0.25	Neural Network (Specific Model)	11	0.836	49168	311.90206433029283	4656511	0.48	4166	203	127029	None
GCA_030259215.1	100.0	0.2	Neural Network (Specific Model)	11	0.834	42865	309.4236585365854	4557926	0.47	4100	223	124609	None
GCA_030259935.1	100.0	0.21	Neural Network (Specific Model)	11	0.834	43101	309.84416525730853	4605279	0.48	4139	231	124474	None
GCA_030261315.1	100.0	0.15	Neural Network (Specific Model)	11	0.834	38391	309.5154028436019	4690862	0.47	4220	233	107257	None
GCA_030261815.1	100.0	0.21	Neural Network (Specific Model)	11	0.834	39424	309.78826895565095	4667248	0.48	4194	242	107249	None
GCA_030262005.1	100.0	0.22	Neural Network (Specific Model)	11	0.834	39623	310.3537431236546	4660232	0.48	4181	237	107249	None
GCA_031521625.1	100.0	1.23	Neural Network (Specific Model)	11	0.868	223492	315.47783470706173	4886962	0.47	4489	50	596794	None
GCA_032144775.1	100.0	2.82	Neural Network (Specific Model)	11	0.853	53027	307.62818662818665	4493513	0.47	4158	180	138566	None
GCA_032145035.1	100.0	0.62	Neural Network (Specific Model)	11	0.854	59513	313.20715861730815	4483005	0.47	4079	196	187444	None
GCA_032145755.1	100.0	0.8	Neural Network (Specific Model)	11	0.865	173232	304.6744838645019	5264448	0.47	4989	128	377645	None
GCA_032630785.1	100.0	0.13	Neural Network (Specific Model)	11	0.872	33854	306.80781830093906	4826202	0.47	4579	282	126140	None
GCA_032681655.1	100.0	0.16	Neural Network (Specific Model)	11	0.872	31475	304.50386597938143	4870940	0.47	4656	311	107767	None
GCA_033817095.1	100.0	0.85	Neural Network (Specific Model)	11	0.868	463621	314.6376713868285	4829940	0.47	4449	43	1045409	None
GCA_033953085.1	100.0	1.08	Neural Network (Specific Model)	11	0.866	198059	315.3953853046595	4869453	0.47	4464	62	377132	None
GCA_034404215.1	100.0	3.5	Neural Network (Specific Model)	11	0.865	331108	318.7259728082513	4708650	0.47	4266	36	675835	None
GCA_034405415.1	100.0	0.71	Neural Network (Specific Model)	11	0.869	315800	313.274678111588	5029842	0.47	4660	60	779809	None
GCA_034406005.1	100.0	0.13	Neural Network (Specific Model)	11	0.862	34184	307.79848519623596	4661195	0.47	4357	269	145927	None
GCA_034406215.1	100.0	0.14	Neural Network (Specific Model)	11	0.862	23120	304.8869745003446	4609589	0.47	4353	388	110175	None
GCA_037097035.1	99.99	1.49	Neural Network (Specific Model)	11	0.865	133435	310.90398975890764	5047008	0.47	4687	99	409310	None
GCA_040204275.1	100.0	3.42	Neural Network (Specific Model)	11	0.866	178158	315.5397107897664	4905785	0.47	4495	61	321867	None
GCA_040361465.1	100.0	3.4	Neural Network (Specific Model)	11	0.865	158252	311.13416407061266	5190941	0.47	4815	91	364113	None
GCA_043262825.1	100.0	1.32	Neural Network (Specific Model)	11	0.868	360580	316.18472162278806	5054823	0.47	4634	39	847532	None
GCA_043931115.1	100.0	1.52	Neural Network (Specific Model)	11	0.868	360650	315.54247520482966	5049751	0.47	4638	36	847551	None
GCA_044520865.1	100.0	3.54	Neural Network (Specific Model)	11	0.866	366564	319.96499882546397	4712838	0.47	4257	36	701373	None
GCA_044610095.1	100.0	2.29	Neural Network (Specific Model)	11	0.866	240672	314.26205163353893	4756072	0.47	4377	52	796619	None
GCA_044956665.1	100.0	3.14	Neural Network (Specific Model)	11	0.866	607752	319.7040276179517	4805374	0.47	4345	25	928135	None
GCA_045030875.1	100.0	1.77	Neural Network (Specific Model)	11	0.867	213374	316.8087155963303	4771023	0.47	4360	48	570281	None
GCA_045030955.1	100.0	2.37	Neural Network (Specific Model)	11	0.865	271398	321.2885394329283	4668017	0.47	4197	40	690736	None
GCA_045031375.1	100.0	1.52	Neural Network (Specific Model)	11	0.868	387250	317.92886932344766	4737612	0.47	4316	30	728291	None
GCA_045394715.1	100.0	2.65	Neural Network (Specific Model)	11	0.867	397227	313.7828239345674	5038062	0.47	4646	37	807754	None
GCA_046057975.1	100.0	0.64	Neural Network (Specific Model)	11	0.867	270949	314.48287895310796	4983972	0.47	4585	45	451249	None
GCA_046185905.1	100.0	1.04	Neural Network (Specific Model)	11	0.855	36579	306.7053872053872	4468050	0.47	4158	246	105896	None
GCA_046218685.1	100.0	3.2	Neural Network (Specific Model)	11	0.869	243906	312.32917760279963	4921919	0.47	4572	51	666682	None
GCA_046561575.1	100.0	1.87	Neural Network (Specific Model)	11	0.854	55058	309.4735286875154	4405307	0.47	4061	177	138596	None
GCA_046577015.1	100.0	2.27	Neural Network (Specific Model)	11	0.869	313767	311.92977466637495	4917540	0.47	4571	42	757582	None
GCA_046647665.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	48929	311.80613971476913	4627882	0.48	4137	201	125994	None
GCA_046648545.1	100.0	0.2	Neural Network (Specific Model)	11	0.834	48900	309.9031941031941	4529582	0.47	4070	200	126005	None
GCA_046648795.1	100.0	0.18	Neural Network (Specific Model)	11	0.836	55792	312.26892573900506	4656272	0.48	4161	184	137329	None
GCA_046652365.1	100.0	0.18	Neural Network (Specific Model)	11	0.836	55791	311.9347095535286	4656515	0.48	4166	184	137329	None
GCA_046653155.1	100.0	0.25	Neural Network (Specific Model)	11	0.836	53832	311.67834012952744	4656905	0.48	4169	209	123332	None
GCA_046656385.1	100.0	0.32	Neural Network (Specific Model)	11	0.835	58979	312.06045949214024	4626881	0.48	4135	196	168225	None
GCA_046656945.1	100.0	0.29	Neural Network (Specific Model)	11	0.834	47088	309.40707317073173	4554018	0.47	4100	215	126080	None
GCA_046657605.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	48769	311.6705314009662	4629865	0.48	4140	209	126266	None
GCA_046659285.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	49530	312.28464690286813	4644619	0.48	4149	199	126107	None
GCA_046661285.1	100.0	0.23	Neural Network (Specific Model)	11	0.835	48900	312.0798258345428	4629093	0.48	4134	200	126238	None
GCA_046661835.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	48900	311.45908761766833	4630038	0.48	4143	208	119114	None
GCA_046661885.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	48900	311.5559043709249	4629780	0.48	4141	209	126113	None
GCA_046661945.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	48769	311.49143132995414	4630628	0.48	4143	210	126255	None
GCA_046663545.1	100.0	0.18	Neural Network (Specific Model)	11	0.836	59230	311.51785286364725	4657371	0.48	4173	186	137389	None
GCA_046663605.1	100.0	0.25	Neural Network (Specific Model)	11	0.835	49244	312.1956782713085	4661573	0.48	4165	195	126255	None
GCA_046663665.1	100.0	0.25	Neural Network (Specific Model)	11	0.835	49244	311.68047904191616	4666800	0.48	4175	209	126425	None
GCA_046663965.1	100.0	0.23	Neural Network (Specific Model)	11	0.835	48900	311.3467664092664	4628901	0.48	4144	204	126087	None
GCA_046664105.1	100.0	0.25	Neural Network (Specific Model)	11	0.835	49244	311.7871215761653	4654200	0.48	4162	201	126255	None
GCA_046666185.1	100.0	0.23	Neural Network (Specific Model)	11	0.835	47079	307.7964793826863	4579460	0.47	4147	218	143836	None
GCA_046666305.1	96.72	0.24	Neural Network (Specific Model)	11	0.833	45165	307.99318609022555	4709776	0.48	4256	266	126221	None
GCA_046667905.1	100.0	0.25	Neural Network (Specific Model)	11	0.835	49159	311.9947229551451	4664982	0.48	4169	205	126255	None
GCA_046668105.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	48900	311.308082026538	4629002	0.48	4145	204	126117	None
GCA_046668485.1	100.0	0.22	Neural Network (Specific Model)	11	0.836	49530	310.54163717857983	4717127	0.48	4239	206	126404	None
GCA_046669925.1	100.0	0.23	Neural Network (Specific Model)	11	0.836	49169	310.25727122251124	4700903	0.48	4229	216	126077	None
GCA_046670805.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	48929	312.13601161665053	4628102	0.48	4132	201	125994	None
GCA_046673985.1	100.0	0.29	Neural Network (Specific Model)	11	0.834	46673	307.8822947576657	4473720	0.47	4044	225	120048	None
GCA_046674405.1	100.0	1.23	Neural Network (Specific Model)	11	0.834	48769	311.36821891502643	4658335	0.48	4166	220	126117	None
GCA_046675425.1	100.0	0.26	Neural Network (Specific Model)	11	0.835	48667	311.03330138955437	4655114	0.48	4174	213	126214	None
GCA_046675885.1	100.0	0.18	Neural Network (Specific Model)	11	0.833	54773	311.3892745989945	4675740	0.48	4177	201	137406	None
GCA_046676385.1	100.0	0.24	Neural Network (Specific Model)	11	0.834	47072	308.63219227967954	4562349	0.47	4119	218	126221	None
GCA_046676565.1	100.0	0.23	Neural Network (Specific Model)	11	0.835	45165	308.00773881499396	4569502	0.48	4135	221	120047	None
GCA_046676745.1	100.0	0.24	Neural Network (Specific Model)	11	0.835	47088	310.4708402761247	4676481	0.48	4201	212	126087	None
GCA_046677225.1	100.0	0.24	Neural Network (Specific Model)	11	0.835	45165	309.56451612903226	4678308	0.48	4216	223	126080	None
GCA_046677585.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	48769	311.8102948284195	4629876	0.48	4138	206	125994	None
GCA_046677605.1	100.0	0.21	Neural Network (Specific Model)	11	0.835	48769	311.53959439884113	4630192	0.48	4142	207	126116	None
GCA_046678285.1	100.0	0.25	Neural Network (Specific Model)	11	0.835	46891	309.6983972802331	4574919	0.48	4118	218	126080	None
GCA_046678605.1	100.0	0.33	Neural Network (Specific Model)	11	0.835	58067	311.97630560928434	4626871	0.48	4136	189	168189	None
GCA_046679185.1	100.0	0.25	Neural Network (Specific Model)	11	0.835	49530	312.44209514656416	4663352	0.48	4162	194	126117	None
GCA_046682705.1	100.0	0.33	Neural Network (Specific Model)	11	0.835	58524	312.2387518142235	4630900	0.48	4134	186	188554	None
GCA_046685205.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	49160	309.9472924187726	4618880	0.48	4155	196	126136	None
GCA_046685345.1	100.0	0.23	Neural Network (Specific Model)	11	0.836	49530	311.3814140458737	4718321	0.48	4229	199	126274	None
GCA_046686065.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	49244	311.875	4642685	0.48	4152	198	126118	None
GCA_046686265.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	49244	312.43439459720213	4644021	0.48	4146	194	126256	None
GCA_046686785.1	100.0	0.25	Neural Network (Specific Model)	11	0.836	49168	311.70369481765835	4656124	0.48	4168	207	126214	None
GCA_046691245.1	100.0	0.33	Neural Network (Specific Model)	11	0.835	56994	312.05272067714634	4627470	0.48	4135	190	168187	None
GCA_046693365.1	100.0	0.25	Neural Network (Specific Model)	11	0.835	46891	311.36963855421686	4634602	0.48	4150	220	126083	None
GCA_046696425.1	100.0	0.25	Neural Network (Specific Model)	11	0.835	47079	310.5674318507891	4656408	0.48	4182	219	126530	None
GCA_046696725.1	100.0	0.22	Neural Network (Specific Model)	11	0.835	47354	311.3806996381182	4631668	0.48	4145	209	107345	None
GCA_047427695.1	100.0	2.32	Neural Network (Specific Model)	11	0.854	53300	310.41840490797546	4435461	0.47	4075	170	119362	None
GCA_048885505.1	100.0	0.79	Neural Network (Specific Model)	11	0.856	42609	310.93083710946814	4562833	0.47	4193	234	111474	None
GCA_049295415.1	100.0	3.31	Neural Network (Specific Model)	11	0.852	63483	307.51824817518246	4591304	0.47	4247	134	166584	None
GCA_049331115.1	100.0	1.05	Neural Network (Specific Model)	11	0.87	267493	317.8202451202905	4821498	0.47	4406	43	577763	None
GCA_049756175.1	100.0	0.11	Neural Network (Specific Model)	11	0.869	212571	309.3444613050076	4920994	0.47	4613	69	384947	None
GCA_049756435.1	100.0	1.75	Neural Network (Specific Model)	11	0.868	263687	315.3358108108108	4833018	0.47	4440	59	651303	None
GCA_049757255.1	100.0	0.8	Neural Network (Specific Model)	11	0.869	150642	311.955167844523	4868278	0.47	4528	72	413685	None
GCA_049757295.1	100.0	1.18	Neural Network (Specific Model)	11	0.853	60774	313.76048484848485	4544578	0.47	4125	172	190121	None
GCA_049758495.1	100.0	3.21	Neural Network (Specific Model)	11	0.869	351884	311.5049630411827	5083247	0.47	4735	63	750509	None
GCA_049760395.1	100.0	2.68	Neural Network (Specific Model)	11	0.868	134099	312.6820592134335	4886334	0.47	4526	77	356466	None
GCA_049760515.1	100.0	1.19	Neural Network (Specific Model)	11	0.87	80896	308.9658798283262	4959054	0.47	4660	135	280756	None
GCA_049762575.1	100.0	0.62	Neural Network (Specific Model)	11	0.849	80314	311.0264637002342	4685361	0.47	4270	140	300029	None
GCA_049762615.1	100.0	1.13	Neural Network (Specific Model)	11	0.849	84085	310.9271492152729	4683687	0.47	4269	143	315170	None
GCA_049762655.1	100.0	1.35	Neural Network (Specific Model)	11	0.853	55851	313.6522262334537	4577022	0.47	4155	176	133603	None
GCA_049763995.1	100.0	0.63	Neural Network (Specific Model)	11	0.853	51875	309.063297118564	4592940	0.47	4234	237	150611	None
GCA_049764915.1	100.0	6.02	Neural Network (Specific Model)	11	0.867	307671	315.6448283598833	4860777	0.47	4457	35	691160	None
GCA_049764995.1	100.0	3.49	Neural Network (Specific Model)	11	0.868	291335	319.10423529411764	4680088	0.47	4250	36	590519	None
GCA_049765255.1	100.0	4.57	Neural Network (Specific Model)	11	0.868	290577	318.1323255813953	4723749	0.47	4300	46	774610	None
GCA_049765475.1	100.0	2.66	Neural Network (Specific Model)	11	0.853	66390	311.6906302420321	4565949	0.47	4173	117	219234	None
GCA_049765535.1	100.0	1.16	Neural Network (Specific Model)	11	0.868	397051	322.28425552125384	4686002	0.47	4211	36	1425943	None
GCA_049766115.1	100.0	0.54	Neural Network (Specific Model)	11	0.85	92564	313.1477521263669	4538402	0.47	4115	121	235511	None
GCA_049766615.1	100.0	3.92	Neural Network (Specific Model)	11	0.865	160040	317.5086489013558	4703173	0.47	4278	64	612109	None
GCA_050442605.1	100.0	2.36	Neural Network (Specific Model)	11	0.852	66346	308.36382978723407	4586863	0.47	4230	117	178250	None
GCA_050469525.1	100.0	2.21	Neural Network (Specific Model)	11	0.852	83703	311.83537481626655	4474819	0.47	4082	100	219622	None
GCA_050504595.1	100.0	1.05	Neural Network (Specific Model)	11	0.868	393268	318.59928909952606	4641133	0.47	4220	42	643473	None
GCA_051057935.1	100.0	0.75	Neural Network (Specific Model)	11	0.866	293544	319.4783834586466	4703113	0.47	4256	45	673720	None
GCA_051221505.1	100.0	5.13	Neural Network (Specific Model)	11	0.869	249526	321.69496707431796	4717890	0.47	4252	51	806125	None
GCA_051316445.1	100.0	1.3	Neural Network (Specific Model)	11	0.867	214750	313.44066354742665	5092485	0.47	4702	107	397459	None
GCA_051325485.1	100.0	2.07	Neural Network (Specific Model)	11	0.867	257256	320.977509469697	4684730	0.47	4224	46	588539	None
GCA_051342395.1	100.0	0.87	Neural Network (Specific Model)	11	0.866	224724	314.50881106401965	4878399	0.47	4483	48	711945	None
GCA_051475925.1	100.0	0.34	Neural Network (Specific Model)	11	0.866	351392	319.13799621928166	4672354	0.47	4232	27	759406	None
GCA_051567905.1	100.0	2.54	Neural Network (Specific Model)	11	0.866	487578	319.00398033247484	4714632	0.47	4271	26	1006261	None
GCA_051870175.1	100.0	2.48	Neural Network (Specific Model)	11	0.866	647394	316.25033377837116	4917236	0.47	4494	31	1015429	None
GCA_052090145.1	100.0	4.89	Neural Network (Specific Model)	11	0.868	168815	320.40338668522384	4767385	0.47	4311	52	478931	None
GCA_052477225.1	100.0	1.99	Neural Network (Specific Model)	11	0.869	200104	320.88808915718596	4767164	0.47	4307	55	535965	None
GCA_052641255.1	100.0	1.52	Neural Network (Specific Model)	11	0.869	302277	315.4872789995688	5045301	0.47	4638	46	825610	None
GCA_052749915.1	100.0	1.19	Neural Network (Specific Model)	11	0.868	78862	309.3888285155401	4909940	0.47	4601	206	363526	None
GCA_053034525.1	100.0	3.23	Neural Network (Specific Model)	11	0.869	396044	314.84471489745323	4815084	0.47	4437	50	691360	None
GCA_053040465.1	100.0	2.54	Neural Network (Specific Model)	11	0.867	517622	321.26768642447416	4645948	0.47	4184	22	768507	None
GCA_053180385.1	100.0	4.54	Neural Network (Specific Model)	11	0.868	673288	316.63925909193586	4839239	0.47	4427	26	1204171	None
GCA_053199545.1	100.0	2.15	Neural Network (Specific Model)	11	0.87	443000	316.354565701559	4892360	0.47	4490	36	726242	None
GCA_053294515.1	100.0	0.53	Neural Network (Specific Model)	11	0.867	177712	319.7127307146238	4667801	0.47	4226	55	569210	None
GCA_053391975.1	100.0	2.52	Neural Network (Specific Model)	11	0.866	206513	318.486741987549	4776899	0.47	4337	54	704680	None
GCA_053400515.1	100.0	2.61	Neural Network (Specific Model)	11	0.87	443000	316.1908584169454	4883556	0.47	4485	32	672370	None
GCA_053879335.1	100.0	2.06	Neural Network (Specific Model)	11	0.85	365421	314.56553672316386	3925785	0.48	3540	28	909333	None
GCA_054404195.1	100.0	0.35	Neural Network (Specific Model)	11	0.866	401131	317.7921270718232	4777556	0.47	4344	33	904877	None
GCA_054746915.1	100.0	1.15	Neural Network (Specific Model)	11	0.851	70348	308.52023261448994	4479214	0.47	4127	140	218236	None
GCA_054755045.1	100.0	1.51	Neural Network (Specific Model)	11	0.852	61957	306.6524754843339	4506473	0.47	4181	166	218244	None
GCA_054773335.1	100.0	1.81	Neural Network (Specific Model)	11	0.865	249726	311.05329435574544	4792409	0.47	4447	48	589118	None
GCA_055009165.1	100.0	0.19	Neural Network (Specific Model)	11	0.868	156323	307.31375838926175	5058294	0.47	4768	90	318622	None
GCA_055357885.1	100.0	1.93	Neural Network (Specific Model)	11	0.864	201898	312.7766860205449	4853722	0.47	4478	57	409070	None
GCA_055815515.1	100.0	0.09	Neural Network (Specific Model)	11	0.868	345355	313.40765506110216	4690767	0.47	4337	40	732109	None
GCA_055982225.1	100.0	0.03	Neural Network (Specific Model)	11	0.869	180349	317.707595526561	4703039	0.47	4292	56	356124	None
GCA_056408455.1	100.0	0.2	Neural Network (Specific Model)	11	0.866	150632	319.8874314333413	4642669	0.47	4193	74	401919	None
GCA_056453545.1	100.0	1.74	Neural Network (Specific Model)	11	0.865	175478	309.43887079261674	4934989	0.47	4605	89	446531	None
GCA_056633955.1	100.0	0.15	Neural Network (Specific Model)	11	0.868	256231	309.8711295246402	4903622	0.47	4586	42	1372470	None
GCA_056634255.1	100.0	1.7	Neural Network (Specific Model)	11	0.866	258024	311.13512333551625	4927962	0.47	4581	31	1240208	None
GCA_056673025.1	100.0	1.12	Neural Network (Specific Model)	11	0.85	86436	308.8779783393502	4519907	0.47	4155	102	219878	None
GCA_056768555.1	100.0	0.29	Neural Network (Specific Model)	11	0.867	207733	321.155226776619	4574165	0.47	4123	46	572493	None
GCA_902169405.1	100.0	0.01	Neural Network (Specific Model)	11	0.851	53932	310.8517870532367	4374689	0.47	4001	182	152375	None
GCA_902169805.1	100.0	0.03	Neural Network (Specific Model)	11	0.855	36846	308.8762962962963	4379768	0.47	4050	236	140619	None
GCA_902169875.1	100.0	0.05	Neural Network (Specific Model)	11	0.852	94940	309.64256348246676	4500660	0.47	4135	132	215838	None
GCA_902169895.1	100.0	0.64	Neural Network (Specific Model)	11	0.861	29389	290.2357640311348	4926148	0.47	4882	649	116207	None
GCA_902170045.1	100.0	0.0	Neural Network (Specific Model)	11	0.855	93670	314.50567179228636	4370862	0.47	3967	111	211709	None
GCA_902170135.1	100.0	0.04	Neural Network (Specific Model)	11	0.853	121320	310.14594209776936	4590586	0.47	4214	85	310042	None
GCA_902171695.1	100.0	0.3	Neural Network (Specific Model)	11	0.836	98628	314.87702573879886	4736427	0.47	4196	155	260872	None
GCA_902171785.1	100.0	0.4	Neural Network (Specific Model)	11	0.82	33244	284.99623273336124	4971850	0.47	4778	715	94666	None
GCA_902172075.1	100.0	0.69	Neural Network (Specific Model)	11	0.844	43296	300.15399041466975	5107599	0.48	4799	406	190667	None
GCA_902172635.1	100.0	0.15	Neural Network (Specific Model)	11	0.841	65965	321.3726235741445	4513900	0.48	3945	159	260437	None
GCA_902172875.1	100.0	0.33	Neural Network (Specific Model)	11	0.845	27249	318.1088367448827	4519455	0.48	4006	305	136669	None
GCA_902172935.1	100.0	0.25	Neural Network (Specific Model)	11	0.845	40103	318.8258127122756	4659698	0.48	4122	248	131574	None
GCA_902172955.1	99.99	0.45	Neural Network (Specific Model)	11	0.845	24269	315.4729100269674	4559074	0.48	4079	371	83594	None
GCA_963860475.1	100.0	0.35	Neural Network (Specific Model)	11	0.825	949451	306.2823328452904	4553105	0.47	4098	18	1333623	None
GCA_963868955.1	100.0	0.1	Neural Network (Specific Model)	11	0.865	365218	319.28289156626505	4589234	0.47	4150	37	686663	None
GCA_963869705.1	100.0	0.06	Neural Network (Specific Model)	11	0.852	92610	313.3659844054581	4521631	0.47	4104	109	243576	None
GCA_963895345.1	100.0	0.09	Neural Network (Specific Model)	11	0.852	109447	307.86786586719967	4871034	0.47	4503	95	366254	None
GCA_963896935.1	100.0	0.04	Neural Network (Specific Model)	11	0.849	103675	307.6888731396173	4595439	0.47	4233	159	316521	None
GCA_963898625.1	100.0	0.26	Neural Network (Specific Model)	11	0.848	70528	304.268233583717	4432560	0.47	4127	146	218467	None
GCF_000016945.1	100.0	0.51	Neural Network (Specific Model)	11	0.836	4723306	322.62956888472354	4935125	0.47	4268	3	4723306	None
GCF_000268845.1	100.0	0.48	Neural Network (Specific Model)	11	0.837	13423	290.98164316095813	4650569	0.48	4467	616	62075	None
GCF_000324045.1	100.0	2.11	Neural Network (Specific Model)	11	0.842	6538	263.4179508538109	4495992	0.48	4802	1478	38770	None
GCF_000324465.1	100.0	1.83	Neural Network (Specific Model)	11	0.842	9649	286.3057603686636	4418766	0.48	4340	987	45958	None
GCF_000324685.1	100.0	0.45	Neural Network (Specific Model)	11	0.842	9400	283.5517003676471	4389464	0.47	4352	1012	46772	None
GCF_000324705.1	99.95	2.32	Neural Network (Specific Model)	11	0.842	5806	259.90909090909093	4431847	0.48	4796	1555	56894	None
GCF_000325125.1	100.0	1.19	Neural Network (Specific Model)	11	0.844	7722	282.1031360424028	4532297	0.47	4528	1098	49002	None
GCF_000834475.1	100.0	0.25	Neural Network (Specific Model)	11	0.835	4695575	322.5732329366043	4765387	0.47	4117	2	4695575	None
GCF_000834495.1	100.0	0.17	Neural Network (Specific Model)	11	0.835	4662886	310.4909090909091	4838262	0.48	4345	4	4662886	None
GCF_000835005.1	100.0	0.1	Neural Network (Specific Model)	11	0.838	4563069	316.419881305638	4572683	0.48	4044	2	4563069	None
GCF_001168925.1	100.0	0.01	Neural Network (Specific Model)	11	0.855	102824	317.7414361837097	4388115	0.47	3941	88	513008	None
GCF_001222745.1	100.0	0.04	Neural Network (Specific Model)	11	0.854	111842	312.01386564666507	4578314	0.47	4183	87	318084	None
GCF_001261985.1	100.0	0.27	Neural Network (Specific Model)	11	0.832	2915616	305.49663025795957	4728870	0.48	4303	6	2915616	None
GCF_001883345.1	100.0	0.05	Neural Network (Specific Model)	11	0.852	168506	316.4347308950342	3739725	0.48	3363	72	309719	None
GCF_002442495.2	100.0	0.05	Neural Network (Specific Model)	11	0.843	3766700	315.51630751310427	3847543	0.48	3434	2	3766700	None
GCF_003025395.1	100.0	0.12	Neural Network (Specific Model)	11	0.843	38668	316.53370379318676	4655787	0.48	4139	227	203763	None
GCF_003048255.1	100.0	0.08	Neural Network (Specific Model)	11	0.857	4986001	316.42820457949927	5164900	0.48	4673	3	4986001	None
GCF_006376475.1	94.09	2.97	Neural Network (Specific Model)	11	0.832	32682	264.2416463819429	4285693	0.47	4519	243	108918	None
GCF_009670225.1	100.0	0.2	Neural Network (Specific Model)	11	0.839	45754	312.4306463326071	4609219	0.48	4131	223	115167	None
GCF_009670665.1	100.0	0.19	Neural Network (Specific Model)	11	0.838	47413	311.5857002938296	4546575	0.48	4084	220	119987	None
GCF_015158805.1	100.0	0.27	Neural Network (Specific Model)	11	0.837	52323	313.3669968591447	4642884	0.48	4139	164	123388	None
GCF_015158895.1	100.0	0.21	Neural Network (Specific Model)	11	0.838	52271	312.8364855159205	4670855	0.48	4177	165	119929	None
GCF_015336695.1	100.0	0.15	Neural Network (Specific Model)	11	0.835	4617857	316.5694273777341	4617857	0.48	4069	1	4617857	None
GCF_015337285.1	100.0	0.11	Neural Network (Specific Model)	11	0.835	4555347	316.63731603891245	4555347	0.48	4009	1	4555347	None
GCF_016102565.1	100.0	1.11	Neural Network (Specific Model)	11	0.839	46625	302.6297577854671	4367334	0.48	4046	188	122934	None
GCF_019231525.1	100.0	0.22	Neural Network (Specific Model)	11	0.834	47102	304.307156133829	4700504	0.48	4304	290	117575	None
GCF_019425795.1	100.0	0.08	Neural Network (Specific Model)	11	0.859	272836	317.0444186046512	4753210	0.47	4300	56	508478	None
