accession	species	niche	n_plasmid_contigs	has_plasmid	rep_types	mobility_types	total_plasmid_bp
GCF_015274715.1	Yersinia pestis	A	15	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	176838
GCF_015274745.1	Yersinia pestis	A	16	1	-|IncFIB|rep_cluster_2350|IncFII|rep_cluster_645	-	176066
GCA_028846665.1	Yersinia enterocolitica	H	3	1	IncFII|-|rep_cluster_645	-	63429
GCF_011044655.1	Yersinia enterocolitica	H	3	1	rep_cluster_645|IncFII|-	-	65836
GCA_028846685.1	Yersinia enterocolitica	H	7	1	rep_cluster_645|-|IncFII	-	65042
GCF_011765335.1	Yersinia massiliensis	U	0	0			0
GCF_011765235.1	Yersinia kristensenii	A	0	0			0
GCF_011765215.1	Yersinia kristensenii	A	0	0			0
GCF_011765225.1	Yersinia aleksiciae	U	3	1	ColE10|-	-	11832
GCF_011765205.1	Yersinia mollaretii	U	0	0			0
GCF_011765325.1	Yersinia mollaretii	U	0	0			0
GCF_013204705.1	Yersinia enterocolitica	H	0	0			0
GCF_013204745.1	Yersinia enterocolitica	H	0	0			0
GCF_013204755.1	Yersinia enterocolitica	H	0	0			0
GCF_013421455.1	Yersinia pestis	A	15	1	-|IncFIB|IncFII|rep_cluster_2350|rep_cluster_645	-	172440
GCF_013421465.1	Yersinia pestis	A	9	1	-|IncFIB|rep_cluster_2350	-	106945
GCF_013421555.1	Yersinia pestis	A	14	1	-|IncFIB|rep_cluster_2350|rep_cluster_645|IncFII	-	172526
GCF_013421545.1	Yersinia pestis	A	15	1	-|IncFIB|rep_cluster_2350|rep_cluster_645|IncFII	-	172162
GCF_013421535.1	Yersinia pestis	A	15	1	-|IncFIB|rep_cluster_2350|IncFII|rep_cluster_645	-	171714
GCF_013282785.1	Yersinia kristensenii	H	0	0			0
GCF_013282765.1	Yersinia massiliensis	H	0	0			0
GCF_013282745.1	Yersinia bercovieri	H	1	1	rep_cluster_214	-	74027
GCF_013282725.1	Yersinia mollaretii	H	0	0			0
GCA_016102555.1	Yersinia pestis	H	15	1	-|IncFIB|rep_cluster_2350|rep_cluster_645|IncFII	-	173482
GCF_016102575.1	Yersinia pestis	A	16	1	-|IncFIB|IncFII|rep_cluster_645	-	169342
GCF_016102565.1	Yersinia pestis	A	9	1	-|IncFIB|rep_cluster_2350	-	112141
GCF_016102585.1	Yersinia pestis	H	17	1	-|IncFIB|IncFII|rep_cluster_2350|rep_cluster_645	-	177223
GCF_016102545.1	Yersinia pestis	H	15	1	-|IncFIB|IncFII|rep_cluster_645	-	170814
GCF_016102645.1	Yersinia pestis	H	8	1	-|IncFIB|rep_cluster_2350	-	110475
GCA_016102665.1	Yersinia pestis	H	18	1	-|IncFIB|IncFII|rep_cluster_2350|rep_cluster_645	-	176803
GCF_016102675.1	Yersinia pestis	A	13	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	177105
GCF_016102685.1	Yersinia pestis	A	19	1	IncFIB|-|IncFII|rep_cluster_2350|rep_cluster_645	-	173113
GCF_016102655.1	Yersinia pestis	H	8	1	-|IncFIB|rep_cluster_2350	-	112251
GCF_016102775.1	Yersinia pestis	H	21	1	-|IncFIB|IncFII|rep_cluster_2350|rep_cluster_645	-	175522
GCF_016102755.1	Yersinia pestis	A	21	1	-|IncFIB|rep_cluster_2350|IncFII|rep_cluster_645	-	172976
GCF_016102765.1	Yersinia pestis	H	13	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	178573
GCF_016102785.1	Yersinia pestis	A	19	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	171551
GCF_016102745.1	Yersinia pestis	A	20	1	IncFIB|-|rep_cluster_2350|IncFII|rep_cluster_645	-	170675
GCF_016102875.1	Yersinia pestis	A	18	1	-|IncFIB|IncFII|rep_cluster_2350|rep_cluster_645	-	175997
GCF_016102845.1	Yersinia pestis	U	16	1	-|rep_cluster_645|IncFII|rep_cluster_2350	-	175744
GCF_016102855.1	Yersinia pestis	A	18	1	-|IncFIB|rep_cluster_2350|rep_cluster_645|IncFII	-	175100
GCF_016102915.1	Yersinia pestis	A	14	1	-|IncFIB|IncFII|rep_cluster_2350|rep_cluster_645	-	176787
GCF_016102945.1	Yersinia pestis	U	14	1	-|IncFIB|IncFII|rep_cluster_2350|rep_cluster_645	-	176648
GCF_016102905.1	Yersinia pestis	A	15	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	175961
GCF_016102965.1	Yersinia pestis	A	18	1	-|IncFIB|rep_cluster_2350|IncFII|rep_cluster_645	-	176071
GCF_016102975.1	Yersinia pestis	A	15	1	-|IncFIB|IncFII|rep_cluster_2350|rep_cluster_645	-	177148
GCF_016103005.1	Yersinia pestis	A	15	1	-|IncFIB|rep_cluster_2350|rep_cluster_645|IncFII	-	175481
GCF_019426105.1	Yersinia enterocolitica	F	2	1	rep_cluster_2307|-	-	68322
GCF_019426035.1	Yersinia kristensenii	A	0	0			0
GCF_019426055.1	Yersinia enterocolitica	A	0	0			0
GCF_019426045.1	Yersinia kristensenii	A	0	0			0
GCF_019426015.1	Yersinia enterocolitica	H	0	0			0
GCF_019425995.1	Yersinia enterocolitica	H	0	0			0
GCF_019425935.1	Yersinia enterocolitica	A	1	1	IncX1	-	32102
GCF_019425925.1	Yersinia enterocolitica	H	0	0			0
GCF_019425895.1	Yersinia enterocolitica	A	2	1	-|IncX1	-	31559
GCF_019425955.1	Yersinia enterocolitica	A	0	0			0
GCF_019425915.1	Yersinia enterocolitica	A	0	0			0
GCF_019425835.1	Yersinia enterocolitica	A	0	0			0
GCF_019425855.1	Yersinia kristensenii	A	0	0			0
GCF_019425795.1	Yersinia kristensenii	A	0	0			0
GCF_019425815.1	Yersinia kristensenii	A	0	0			0
GCF_019425845.1	Yersinia enterocolitica	A	0	0			0
GCF_015350425.1	Yersinia pestis	A	18	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	173111
GCF_015350435.1	Yersinia pestis	A	16	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	171692
GCF_015350455.1	Yersinia pestis	H	20	1	-|IncFIB|rep_cluster_2350|IncFII|rep_cluster_645	-	174600
GCF_018704735.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175853
GCF_018704745.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	174847
GCF_018704725.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	174757
GCF_018704685.1	Yersinia pestis	A	3	1	IncFIB|IncFII,rep_cluster_645|rep_cluster_2350	-	171548
GCF_018704705.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	174268
GCF_018704645.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	174304
GCF_018704655.1	Yersinia pestis	U	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175853
GCF_018704625.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	174847
GCF_018704605.1	Yersinia pestis	A	10	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175473
GCF_018704565.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175249
GCF_018704545.1	Yersinia pestis	A	3	1	IncFIB|IncFII,rep_cluster_645|rep_cluster_2350	-	172202
GCF_018704585.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	174302
GCF_018704515.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	175321
GCF_018704455.1	Yersinia pestis	A	9	1	-|IncFIB|IncFII,rep_cluster_645|rep_cluster_2350	-	169950
GCF_018704505.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175247
GCF_018704485.1	Yersinia pestis	U	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175247
GCF_018704445.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175157
GCF_018704425.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	175321
GCF_018704375.1	Yersinia pestis	A	11	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	175321
GCF_018704385.1	Yersinia pestis	A	9	1	IncFII|-|IncFIB|rep_cluster_645|rep_cluster_2350	-	175247
GCF_014734405.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	180334
GCF_014734355.1	Yersinia pestis	A	12	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	180329
GCF_014734395.1	Yersinia pestis	U	11	1	-|IncFIB|rep_cluster_645|rep_cluster_2350|IncFII	-	181123
GCF_016535475.1	Yersinia pseudotuberculosis	U	0	0			0
GCF_016727765.1	Yersinia enterocolitica	U	0	0			0
GCF_016727905.1	Yersinia enterocolitica	U	0	0			0
GCF_017498685.1	Yersinia ruckeri	E	2	1	-	-	120831
GCF_020889805.1	Yersinia pseudotuberculosis	H	2	1	IncFII,rep_cluster_645|rep_cluster_957	-	217897
GCF_015159615.2	Yersinia pestis	A	0	0			0
GCF_015336085.1	Yersinia pestis	A	0	0			0
GCF_015337285.1	Yersinia pestis	A	0	0			0
GCF_015337085.2	Yersinia pestis	A	0	0			0
GCF_015337445.1	Yersinia pestis	A	0	0			0
GCF_015337645.1	Yersinia pestis	A	0	0			0
GCF_015337825.2	Yersinia pestis	A	0	0			0
GCF_015336265.1	Yersinia pestis	A	0	0			0
GCF_015336865.1	Yersinia pestis	A	0	0			0
GCF_015338045.2	Yersinia pestis	A	0	0			0
GCF_015336465.1	Yersinia pestis	A	0	0			0
GCF_015338205.1	Yersinia pestis	A	0	0			0
GCF_015336695.1	Yersinia pestis	A	0	0			0
GCA_028846645.1	Yersinia enterocolitica	H	0	0			0
GCA_028848445.1	Yersinia ruckeri	A	0	0			0
GCA_028848265.1	Yersinia ruckeri	A	0	0			0
GCA_028848285.1	Yersinia ruckeri	A	0	0			0
GCA_028848305.1	Yersinia ruckeri	A	3	1	-|Col(Ye4449)	-	94631
GCA_028848365.1	Yersinia ruckeri	A	1	1	rep_cluster_957	-	130004
GCA_028848345.1	Yersinia ruckeri	A	4	1	-	-	62621
GCA_028848465.1	Yersinia ruckeri	A	0	0			0
GCF_017837935.1	Yersinia pestis	H	22	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	209158
GCF_017837915.1	Yersinia pestis	A	16	1	-|IncFIB|rep_cluster_645|IncFII|rep_cluster_2350	-	210164
GCA_028846585.1	Yersinia enterocolitica	H	1	1	IncN	-	34617
GCA_028846555.1	Yersinia enterocolitica	H	6	1	rep_cluster_645|-|IncFII,rep_cluster_2203|Col(MG828)	-	70557
GCF_019739755.1	Yersinia enterocolitica	A	0	0			0
GCF_019739685.1	Yersinia enterocolitica	A	0	0			0
GCF_019739675.1	Yersinia enterocolitica	A	0	0			0
GCF_019739665.1	Yersinia enterocolitica	E	1	1	IncFII,rep_cluster_2203	-	62895
GCF_019739695.1	Yersinia enterocolitica	A	1	1	IncFII,rep_cluster_2203	-	62866
GCF_019739655.1	Yersinia enterocolitica	A	0	0			0
GCA_028846545.1	Yersinia enterocolitica	H	1	1	IncFII	-	31777
GCF_018224905.1	Yersinia bercovieri	H	19	1	-|rep_cluster_2307	-	59544
GCA_028846605.1	Yersinia enterocolitica	H	0	0			0
GCA_028846525.1	Yersinia enterocolitica	H	0	0			0
GCA_028846485.1	Yersinia enterocolitica	H	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	66810
GCA_028846505.1	Yersinia enterocolitica	H	1	1	-	-	7090
GCA_028846425.1	Yersinia enterocolitica	H	0	0			0
GCF_022395295.1	Yersinia enterocolitica	A	0	0			0
GCF_022395275.1	Yersinia enterocolitica	A	3	1	rep_cluster_645|-	-	62608
GCF_022395235.1	Yersinia enterocolitica	A	3	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	69245
GCF_022395195.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68460
GCF_022395255.1	Yersinia enterocolitica	A	0	0			0
GCF_022395155.1	Yersinia enterocolitica	A	3	1	IncFII,rep_cluster_2203,rep_cluster_645|-	-	75683
GCF_022395165.1	Yersinia enterocolitica	A	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	70121
GCF_022395135.1	Yersinia enterocolitica	A	3	1	IncFII,rep_cluster_2203,rep_cluster_645|-	-	74999
GCF_022395055.1	Yersinia enterocolitica	A	0	0			0
GCF_022395215.1	Yersinia enterocolitica	A	3	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68125
GCF_022395095.1	Yersinia enterocolitica	A	0	0			0
GCF_022395105.1	Yersinia enterocolitica	A	0	0			0
GCF_022395075.1	Yersinia enterocolitica	A	5	1	IncC|IncFII,rep_cluster_2203,rep_cluster_645|-	-	208044
GCF_022395015.1	Yersinia enterocolitica	A	3	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68246
GCF_022394995.1	Yersinia enterocolitica	A	3	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68235
GCF_022394955.1	Yersinia enterocolitica	A	7	1	IncC|rep_cluster_645|-|IncFII,rep_cluster_2203	-	201324
GCF_022394895.1	Yersinia enterocolitica	A	6	1	IncC|IncFII,rep_cluster_2203,rep_cluster_645|-	-	208208
GCF_022394915.1	Yersinia enterocolitica	A	6	1	IncC|rep_cluster_645|-|IncFII,rep_cluster_2203	-	199120
GCF_022394875.1	Yersinia enterocolitica	A	4	1	IncC|rep_cluster_645|-	-	193999
GCF_022394825.1	Yersinia enterocolitica	A	4	1	IncC|rep_cluster_645|-|IncFII,rep_cluster_2203	-	198867
GCF_022394975.1	Yersinia enterocolitica	A	6	1	IncC|rep_cluster_645|-|IncFII,rep_cluster_2203	-	199541
GCF_022395035.1	Yersinia enterocolitica	A	6	1	IncC|rep_cluster_645|-|IncFII,rep_cluster_2203	-	198327
GCF_022394855.1	Yersinia enterocolitica	A	5	1	IncC|rep_cluster_645|-	-	194114
GCA_028837505.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|-|IncQ1|IncFII,rep_cluster_2203	-	89620
GCA_028837465.1	Yersinia enterocolitica	A	5	1	rep_cluster_645|IncQ1|IncFII,rep_cluster_2203|-	-	86382
GCA_028839165.1	Yersinia enterocolitica	A	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67792
GCA_028840205.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|-|IncQ1|IncFII,rep_cluster_2203	-	85527
GCA_028840685.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67490
GCA_028840785.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67594
GCA_028841065.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67793
GCA_028990735.1	Yersinia enterocolitica	A	5	1	rep_cluster_645|-|IncQ1|IncFII,rep_cluster_2203	-	86213
GCA_028840985.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67907
GCA_028841085.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68026
GCA_028837525.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67907
GCA_028837805.1	Yersinia enterocolitica	A	5	1	rep_cluster_645|-|IncQ1|IncFII,rep_cluster_2203	-	86102
GCA_028837885.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67907
GCA_028838585.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|-|IncQ1|IncFII,rep_cluster_2203	-	85397
GCA_028838685.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67899
GCA_028838105.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68030
GCA_028838245.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67902
GCA_028838845.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67899
GCA_028838925.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67894
GCA_028839225.1	Yersinia enterocolitica	A	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	71780
GCA_028839415.1	Yersinia enterocolitica	A	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	71453
GCA_028839605.1	Yersinia enterocolitica	A	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	71363
GCA_028839725.1	Yersinia enterocolitica	A	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	71363
GCA_028990495.1	Yersinia enterocolitica	A	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	71449
GCA_028990575.1	Yersinia enterocolitica	A	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	71780
GCA_028840065.1	Yersinia enterocolitica	A	0	0			0
GCA_028840185.1	Yersinia enterocolitica	A	1	1	IncFII	-	42176
GCA_028840245.1	Yersinia enterocolitica	A	0	0			0
GCA_028840645.1	Yersinia enterocolitica	A	0	0			0
GCA_028840285.1	Yersinia enterocolitica	A	5	1	rep_cluster_645|-|IncFII	-	67725
GCA_028990615.1	Yersinia enterocolitica	A	8	1	rep_cluster_645|-|rep_cluster_2335|IncFII,rep_cluster_2203	-	85667
GCA_028990655.1	Yersinia enterocolitica	A	0	0			0
GCA_028840665.1	Yersinia enterocolitica	A	0	0			0
GCA_028840625.1	Yersinia enterocolitica	A	0	0			0
GCA_028990675.1	Yersinia enterocolitica	A	2	1	rep_cluster_2307|-	-	80423
GCA_028840725.1	Yersinia enterocolitica	A	0	0			0
GCA_028841205.1	Yersinia enterocolitica	A	0	0			0
GCA_028840885.1	Yersinia enterocolitica	A	0	0			0
GCA_028840865.1	Yersinia enterocolitica	A	0	0			0
GCA_028840925.1	Yersinia enterocolitica	A	0	0			0
GCA_028990695.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67604
GCA_028840965.1	Yersinia enterocolitica	A	0	0			0
GCA_028990755.1	Yersinia enterocolitica	A	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67884
GCA_028841005.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67922
GCA_028990715.1	Yersinia enterocolitica	A	0	0			0
GCA_028841285.1	Yersinia enterocolitica	A	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67830
GCA_028841225.1	Yersinia enterocolitica	A	0	0			0
GCA_028990795.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67923
GCA_028841025.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67894
GCA_028990775.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67923
GCA_028990815.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67925
GCA_028841045.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67919
GCA_028841305.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67896
GCA_028841105.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67894
GCA_028841125.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67733
GCA_028841145.1	Yersinia enterocolitica	A	0	0			0
GCA_028841185.1	Yersinia enterocolitica	A	0	0			0
GCA_028841165.1	Yersinia enterocolitica	A	0	0			0
GCA_028841365.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67894
GCA_028841465.1	Yersinia enterocolitica	A	0	0			0
GCA_028841385.1	Yersinia enterocolitica	A	5	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67788
GCA_028841405.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|-|IncQ1|IncFII,rep_cluster_2203	-	90035
GCA_028841505.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67899
GCA_028841425.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67915
GCA_028837545.1	Yersinia enterocolitica	A	0	0			0
GCA_028837565.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67903
GCA_028837485.1	Yersinia enterocolitica	A	0	0			0
GCA_028837585.1	Yersinia enterocolitica	A	0	0			0
GCA_028837685.1	Yersinia enterocolitica	A	0	0			0
GCA_028837725.1	Yersinia enterocolitica	A	0	0			0
GCA_028837785.1	Yersinia enterocolitica	A	0	0			0
GCA_028838385.1	Yersinia enterocolitica	F	1	1	ColE10	-	9511
GCA_028838445.1	Yersinia enterocolitica	F	0	0			0
GCA_028837845.1	Yersinia enterocolitica	F	5	1	rep_cluster_1304|-|rep_cluster_2335	-	55858
GCA_028838405.1	Yersinia enterocolitica	A	0	0			0
GCA_028838465.1	Yersinia enterocolitica	A	0	0			0
GCA_028838485.1	Yersinia enterocolitica	A	0	0			0
GCA_028838525.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67915
GCA_028837905.1	Yersinia enterocolitica	A	2	1	rep_cluster_645|IncFII,rep_cluster_2203	-	69006
GCA_028837925.1	Yersinia enterocolitica	A	7	1	rep_cluster_645|-|IncQ1|IncFII,rep_cluster_2203	-	90075
GCA_028837965.1	Yersinia enterocolitica	A	3	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	68647
GCA_028838545.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|-|IncQ1|IncFII,rep_cluster_2203	-	90042
GCA_028838505.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|-|IncQ1|IncFII,rep_cluster_2203	-	90035
GCA_028838565.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67637
GCA_028838645.1	Yersinia enterocolitica	F	0	0			0
GCA_028837985.1	Yersinia enterocolitica	F	1	1	ColE10	-	9496
GCA_028838025.1	Yersinia enterocolitica	A	1	1	rep_cluster_1304	-	38757
GCA_028838045.1	Yersinia enterocolitica	A	0	0			0
GCA_028838085.1	Yersinia enterocolitica	A	0	0			0
GCA_028838165.1	Yersinia enterocolitica	A	14	1	rep_cluster_214|rep_cluster_645|-|IncFII,rep_cluster_2203	-	174878
GCA_028838745.1	Yersinia enterocolitica	A	14	1	rep_cluster_214|rep_cluster_645|-|IncFII,rep_cluster_2203	-	174432
GCA_028838125.1	Yersinia enterocolitica	A	12	1	rep_cluster_214|rep_cluster_645|-|IncFII,rep_cluster_2203	-	172991
GCA_028838665.1	Yersinia enterocolitica	A	0	0			0
GCA_028838705.1	Yersinia enterocolitica	A	14	1	rep_cluster_214|rep_cluster_645|IncFII,rep_cluster_2203|-	-	174249
GCA_028838185.1	Yersinia enterocolitica	A	14	1	rep_cluster_214|rep_cluster_645|-|IncFII,rep_cluster_2203	-	174376
GCA_028838145.1	Yersinia enterocolitica	A	13	1	rep_cluster_214|rep_cluster_645|-|IncFII,rep_cluster_2203	-	174384
GCA_028838205.1	Yersinia enterocolitica	A	13	1	rep_cluster_214|rep_cluster_645|-|IncFII,rep_cluster_2203	-	174847
GCA_028838225.1	Yersinia enterocolitica	A	0	0			0
GCA_028838265.1	Yersinia enterocolitica	A	0	0			0
GCA_028838785.1	Yersinia enterocolitica	A	0	0			0
GCA_028838945.1	Yersinia enterocolitica	A	0	0			0
GCA_028838965.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|rep_cluster_2335|-|IncFII,rep_cluster_2203	-	88145
GCA_028838985.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|rep_cluster_2335|-|IncFII,rep_cluster_2203	-	91408
GCA_028839005.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|rep_cluster_2335|-|IncFII,rep_cluster_2203	-	88225
GCA_028839085.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|rep_cluster_2335|-|IncFII,rep_cluster_2203	-	88086
GCA_028839065.1	Yersinia enterocolitica	F	0	0			0
GCA_028839025.1	Yersinia enterocolitica	A	0	0			0
GCA_028839105.1	Yersinia enterocolitica	A	0	0			0
GCA_028839125.1	Yersinia enterocolitica	A	0	0			0
GCA_028839185.1	Yersinia enterocolitica	A	0	0			0
GCA_028839145.1	Yersinia enterocolitica	A	0	0			0
GCA_028839205.1	Yersinia enterocolitica	A	0	0			0
GCA_028839285.1	Yersinia enterocolitica	F	3	1	ColRNAI_rep_cluster_1987|Col3M	-	13229
GCA_028839445.1	Yersinia enterocolitica	H	10	1	-|IncC|rep_cluster_645|IncFII,rep_cluster_2203	-	280378
GCA_028839495.1	Yersinia enterocolitica	H	7	1	rep_cluster_645|-|rep_cluster_2335|IncFII,rep_cluster_2203	-	85417
GCA_028839545.1	Yersinia enterocolitica	H	1	1	IncFII	-	32506
GCA_028839485.1	Yersinia enterocolitica	H	8	1	IncC|rep_cluster_645|-|IncFII,rep_cluster_2203	-	192954
GCA_028839565.1	Yersinia enterocolitica	H	9	1	-|IncC|rep_cluster_645|IncFII,rep_cluster_2203	-	288822
GCA_028839505.1	Yersinia enterocolitica	H	9	1	-|rep_cluster_645|IncC|IncFII,rep_cluster_2203	-	288943
GCA_028839625.1	Yersinia enterocolitica	H	15	1	-|rep_cluster_645|IncC|IncFII,rep_cluster_2203	-	277000
GCA_028839585.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|rep_cluster_2335|-|IncFII,rep_cluster_2203	-	90950
GCA_028839665.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|rep_cluster_2335|-|IncFII,rep_cluster_2203	-	91490
GCA_028839645.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67899
GCA_028839685.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|rep_cluster_2335|-|IncFII,rep_cluster_2203	-	91198
GCA_028839705.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|rep_cluster_2335|-|IncFII,rep_cluster_2203	-	91369
GCA_028839745.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|rep_cluster_2335|-|IncFII,rep_cluster_2203	-	91326
GCA_028839765.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|rep_cluster_2335|-|IncFII,rep_cluster_2203	-	91167
GCA_028839785.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|rep_cluster_2335|-|IncFII,rep_cluster_2203	-	91367
GCA_028839805.1	Yersinia enterocolitica	A	4	1	rep_cluster_645|-|IncFII,rep_cluster_2203	-	67307
GCA_028839825.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|rep_cluster_2335|-|IncFII,rep_cluster_2203	-	90950
GCA_028839905.1	Yersinia enterocolitica	A	6	1	rep_cluster_645|rep_cluster_2335|-|IncFII,rep_cluster_2203	-	91038
GCA_028839865.1	Yersinia enterocolitica	A	2	1	rep_cluster_2335	-	23468
